username,rating,sentiment,date,review,clean_review
Mini Me,1,Negative,2026-04-15 15:42:55,ugh!! Indonesia grab likes to cancel orders!!!,ugh indonesia like cancel order
A Google user,5,Positive,2026-04-15 15:33:17,great help from all of you guys at grab,great help guy
Mohd Rosdi “didi8857” Abd Wahab,3,Neutral,2026-04-15 15:16:02,good,good
Marie Abigail Cabanglan,5,Positive,2026-04-15 14:07:47,"This ""everyday app"" model reduces friction for users who can manage multiple daily needs—from commuting to paying bills—without switching applications.",everyday model reduces friction user manage multiple daily needsfrom commuting paying billswithout switching application
Cris Lorenz Miranda,5,Positive,2026-04-15 13:44:23,10star,star
Anh Le,4,Positive,2026-04-15 13:26:18,"Đặt xe ngày càng chậm, không có xe, tài xế thì than phiền là không có cuốc xe. Quảng cáo quá nhiều.",ngy cng chm khng phin khng cuc qung nhiu
Kulotskie Cambel,5,Positive,2026-04-15 13:23:50,nice,nice
saiful azizi Arifin,5,Positive,2026-04-15 13:18:26,"I rely on Grab for pretty much everything! The rides feel safe and are always easy to book, and the cashless payment makes life so much simpler. Having transport and food delivery in one app is a huge win. If you’re looking for a smooth, all-in-one experience, this is it.",rely pretty much everything ride feel safe always easy book cashless payment make life much simpler transport food delivery huge win youre looking smooth allinone experience
Jesusa Ebron,5,Positive,2026-04-15 12:51:28,respectful,respectful
Maciste Hipe,1,Negative,2026-04-15 12:48:37,Panget ung confirming driver...madalas ung nag cacancel ng booking,panget ung confirming drivermadalas ung nag cacancel booking
wooxianz,2,Negative,2026-04-15 12:41:10,drivers only care to pick u up if the fares are high. once its at a low price? say goodbye they wont bat an eye at you. worst even if u do pay for the high fare.. they still come at a slow pace often times stopping some where first before picking you up. It takes them almost 20 mins for them to pick me up.. when my whole travel distance is only 10 mins🙄,driver care pick fare high low price say goodbye wont bat eye worst even pay high fare still come slow pace often time stopping first picking take almost min pick whole travel distance min
Albert Anthonysamy,5,Positive,2026-04-15 12:34:38,Great job 👍,great job
Gita,1,Negative,2026-04-15 12:05:36,"Selama ini saya pakai dengan nyaman, beli makan, bepergian. Tapi barusan dapet pengalaman yang bikin kapok banget. Lagi demam sendirian di kamar mau pesen makan lewat Grab, udah dipesan, eh baru sadar alamatnya disetting jauh banget, ke tempat yang ga pernah saya masukin ke saved address. Mana gak bisa diganti pula, AI Bot-nya gak membantu sama sekali. bikin kerjaan orang sakit aja",selama ini saya pakai dengan nyaman beli makan bepergian tapi barusan dapet pengalaman yang bikin kapok banget lagi demam sendirian kamar mau pesen makan lewat udah dipesan baru sadar alamatnya disetting jauh banget tempat yang pernah saya masukin saved address mana gak bisa diganti pula botnya gak membantu sama sekali bikin kerjaan orang sakit aja
Aiven Samonte,3,Neutral,2026-04-15 12:02:19,"HELLO PO""MAM,SIR""ASK KOLANG PO YUNG ACCOUNT KOPO KAY ""GRAB""BAKA NAMAN PO PWEDE NINYO AKO BIGYAN NG PAGKAKATAON PARA MAKAPAG SERBISYO ULI KAY ""GRAB""KUNG ANO MAN PO SANA ANG MGA ""PAGKUKULANG KOPO NOON SANA AY MABIGYAN NINYO""AKO NG PAGKAKATAON ULI NA MAKABIYAHE ""SANA PO AY MAUNAWAAN NINYO PO AKO""MARAMING SALAMAT PO ""THIS COMING""FRIDAY AY ""GUSTO KO PO SANANG MAG REPORT""SALAMAT PO"" GUMAGALANG"" MR.AIVEN V.SAMONTE""",hello pomamsirask kolang yung account kopo kay grabbaka naman pwede ninyo ako bigyan pagkakataon para makapag serbisyo uli kay grabkung ano man sana ang mga pagkukulang kopo noon sana mabigyan ninyoako pagkakataon uli makabiyahe sana maunawaan ninyo akomaraming salamat comingfriday gusto sanang mag reportsalamat gumagalang mraiven vsamonte
Kgn Kgn1234,5,Positive,2026-04-15 11:41:03,Good 👍,good
Necitas Pantua,5,Positive,2026-04-15 11:28:09,reliable,reliable
Lizyl Lapesigue,3,Neutral,2026-04-15 11:11:13,medyo mahal nga lang,medyo mahal nga lang
Mq Foxtroit,1,Negative,2026-04-15 10:08:52,"your pin setup is TRASH. I kept putting my new pin but your app keeps failing, now I can't use a grab because it DON'T HAVE A LATER BUTTON",pin setup trash kept putting new pin keep failing cant dont later button
Ryan Fernandez,5,Positive,2026-04-15 09:56:13,Good service,good service
Julius Muñez,5,Positive,2026-04-15 08:26:07,good,good
Liezel Anne Peteros,1,Negative,2026-04-15 08:08:57,"Nakakairita po mga driver niyo. Ang mahal ng fee para sa less than 5kms tapos ayaw pang magaccept ng ride? Nakita naman na laboratory and destination, may hinahabol na oras. Kung ayaw nila ng rate, magresign na lang ho sila, x4 na rate ayaw pa.",nakakairita mga driver niyo ang mahal fee para less km tapos ayaw pang magaccept ride nakita naman laboratory destination may hinahabol oras kung ayaw nila rate magresign lang sila rate ayaw
Kristoff,1,Negative,2026-04-15 07:50:50,"has been using this less frequently. there are now fewer drivers around (transport), and more expensive delivery fee (food)",using less frequently fewer driver around transport expensive delivery fee food
Eki Nurmansyah,5,Positive,2026-04-15 07:42:19,keren,keren
Nualeina Lilypinaat,5,Positive,2026-04-15 07:28:05,this apps really helpful for me when i really lazy to drive my car also lazy to cook,apps really helpful really lazy drive car lazy cook
Khairie asyraf,5,Positive,2026-04-15 02:34:49,Convenient for rides and food delivery.,convenient ride food delivery
Ayoi 5755,5,Positive,2026-04-15 02:04:19,good 👍,good
Ttjetu Dgfhetbar,1,Negative,2026-04-15 01:55:36,okay,okay
Riszman Raimy,3,Neutral,2026-04-15 01:35:34,too expensive,expensive
Mark Anthony Cator,5,Positive,2026-04-15 01:13:00,"bawiin ko tong 5 star sa Oras na mag ka problema ako Dito pero dahil 1st time ko gamitin to, nagustuhan konaman. madali din syang gamitin",bawiin tong star oras mag problema ako dito pero dahil time gamitin nagustuhan konaman madali din syang gamitin
Evelyn Bioco,5,Positive,2026-04-15 01:12:05,amazing,amazing
Mort,1,Negative,2026-04-15 01:10:57,"Jam 1 malam waktu Bali, pesan Nasi Padang Simpang Ampek Teuku Umar dari Imam Bonjol. Kalau nyetir motor sendiri cuma 5 menit. Pake GrabFood tercepat, 52 menit, sedangkan GoFood tercepat cuma 20 menit. Arti nya, driver Grabs pada malas-malas dan lamban.",jam malam waktu bali pesan nasi padang simpang ampek teuku umar dari imam bonjol kalau nyetir motor sendiri cuma menit pake grabfood tercepat menit sedangkan gofood tercepat cuma menit arti nya driver grab pada malasmalas dan lamban
Faruq Faruq,5,Positive,2026-04-15 00:18:48,Okay,okay
Soy Monkey,5,Positive,2026-04-15 00:06:29,nice,nice
RAA,1,Negative,2026-04-15 00:02:40,"Berkali2 pemesanan lokasi nya bergeser dari lokasi semestinya. Biasanya setiap pesan lgsg pake lokasi sesuai save place yg sesuai lokasi sy nya tapi ini berkali2 pemesanan tiba2 lokasinya geser 5 - 10 km ato ke lokasi sebelumnya yg ga sesuai dgn titik sy. Iya sy pun salah ga cek lg, cuman biasanya grab ga pernah gini. Mudah2an bisa diperbaiki masalah ini. Rugi berkali grab food. Help centre nya jg gaada solusi, ga jelas mungkin kurang paham maksudnya.",berkali pemesanan lokasi nya bergeser dari lokasi semestinya biasanya setiap pesan lgsg pake lokasi sesuai save place sesuai lokasi nya tapi ini berkali pemesanan tiba lokasinya geser ato lokasi sebelumnya sesuai dgn titik iya pun salah cek cuman biasanya pernah gini mudahan bisa diperbaiki masalah ini rugi berkali food help centre nya gaada solusi jelas mungkin kurang paham maksudnya
ezma fasham,1,Negative,2026-04-14 23:13:19,grab food is very terrible. very difficult to pin the exact location for delivery.,food terrible difficult pin exact location delivery
Huat Gan,5,Positive,2026-04-14 22:12:46,good 👍 blessed,good blessed
jeyakanthan jkm,5,Positive,2026-04-14 22:11:03,highly recommended,highly recommended
S K,5,Positive,2026-04-14 21:49:22,"easy to use, precise, fast and excellent! driver was great! food was good and still hot too.",easy precise fast excellent driver great food good still hot
Iman Encem,1,Negative,2026-04-14 21:37:30,"eh sial penat² aku add to cart kira sume last"" tkle terima cash",sial penat aku add cart kira sume last tkle terima cash
Ben Yoong,1,Negative,2026-04-14 21:18:44,They cancel your orders because they have not enough riders and their system had no customer service number to call. All that is available is an A.I. Bot chat that cannot understand customer situation,cancel order enough rider system customer service number call available bot chat understand customer situation
maher daood,1,Negative,2026-04-14 20:51:46,"Very bad experience with GrabFood , My order was marked “Delivered” but I received nothing — no call, no way to contact the rider. I had to order again (RM61) just to eat. Later, the rider showed up with zero communication, leaving me with two orders. Support treated it as a delay and offered only RM5!! Be careful — the app may mark orders as delivered even if you didn’t receive anything. Unreliable service and poor complaint handling.",bad experience grabfood order marked delivered received nothing call way contact rider order eat later rider showed zero communication leaving two order support treated delay offered careful may mark order delivered even didnt receive anything unreliable service poor complaint handling
Maxwell Hancock,5,Positive,2026-04-14 20:08:39,works everytime,work everytime
Maybel,1,Negative,2026-04-14 19:32:37,"Ang hirap i contact yung customer service niyo, ilang araw everyday ako nag e-email. nag cha-chat pero wala paring update. Grabe",ang hirap contact yung customer service niyo ilang araw everyday ako nag eemail nag chachat pero wala paring update grabe
Boni Islam,5,Positive,2026-04-14 19:16:22,very good,good
Manisa Mansor,5,Positive,2026-04-14 18:54:42,I have being using Grab a lot and it is very helpful for me to go to new place that I have not familiar with the road. It is a safe apps to use and its so haven when some one can drive you around.,using lot helpful new place familiar road safe apps drive around
Hoerunnisa,3,Neutral,2026-04-14 18:21:22,"Ga suka sama drivernya, setiap hujan susah dapet driver buat pulang pergi kemanapun. Sekalinya dapet, eh langsung di cancel karena jauh tempuh jaraknya",suka sama drivernya setiap hujan susah dapet driver buat pulang pergi kemanapun sekalinya dapet langsung cancel karena jauh tempuh jaraknya
raindop bravo,1,Negative,2026-04-14 18:20:08,sampah kali sinyalnya padahal di kota bekasi,sampah kali sinyalnya padahal kota bekasi
hasbullah dikwa,5,Positive,2026-04-14 18:12:04,ok,
Zi Kun Lim,4,Positive,2026-04-14 18:08:31,Pls improve on the $ holding feature. the bank holds my $ for more than 2 weeks whenever the car ride cannot find driver... it adds up to alot,pls improve holding feature bank hold week whenever car ride find driver add alot
movin Nook,5,Positive,2026-04-14 18:04:10,so goos,goo
Alfie Alamin,5,Positive,2026-04-14 17:34:45,ok,
nur anusha,5,Positive,2026-04-14 17:29:38,😊,
Abg Maneh,5,Positive,2026-04-14 17:04:04,good,good
JoseDandy DelaCruz jr.,5,Positive,2026-04-14 16:29:07,awesome,awesome
Coleen Casanova,1,Negative,2026-04-14 15:49:21,Ordered at standard delivery. I made the order at exactly 3:01pm with the estimated time to arrive after 20-30min but the estimated time of arrival is 3:55pm? At this point I'm way past hunger already. My appetite is GONE. This is beyond delayed.,ordered standard delivery made order exactly estimated time arrive min estimated time arrival point way past hunger already appetite gone beyond delayed
Nur Izzah,5,Positive,2026-04-14 15:45:43,good and I love it,good love
Swkswk,5,Positive,2026-04-14 15:44:03,good,good
Annette Urquiola,5,Positive,2026-04-14 14:27:40,How can I add the Pwd of my grandson?,add pwd grandson
Allen Lau,1,Negative,2026-04-14 13:57:41,"racist drivers, even made it to the news",racist driver even made news
Pete,5,Positive,2026-04-14 13:35:41,The ride and driver came fully up to what was expected. The same cannot be said for your survey as the post button is beneath the onscreen keyboard.,ride driver came fully expected said survey post button beneath onscreen keyboard
Motaz Salh,5,Positive,2026-04-14 13:34:28,"I used the Grab app in Bangkok, and my experience was very excellent 👌 The app is easy to use, and booking a ride is quick and simple. The drivers are respectful, the cars are clean and comfortable, and they arrive on time. Also, the prices are clear in the app with no surprises. Honestly, it made getting around much easier, especially in a new country. I highly recommend it 👍",used bangkok experience excellent easy booking ride quick simple driver respectful car clean comfortable arrive time price clear surprise honestly made getting around much easier especially new country highly recommend
Khaled Youssef,1,Negative,2026-04-14 13:10:30,I think it's the worst service ever.,think worst service ever
Reafika Azkiya,1,Negative,2026-04-14 13:03:35,kenapa kalau pesen drivernya gamau nerima mulu ga ramah cuh,kenapa kalau pesen drivernya gamau nerima mulu ramah cuh
Luqman Abdullah,5,Positive,2026-04-14 12:44:38,Good,good
Nasir Solanki,5,Positive,2026-04-14 12:14:30,good app,good
wtun win,5,Positive,2026-04-14 12:08:14,good job,good job
Robiul Islam,5,Positive,2026-04-14 12:07:11,good,good
Maria Iquin,5,Positive,2026-04-14 11:36:13,excellent,excellent
Kenny Ang,5,Positive,2026-04-14 11:25:06,soo good,soo good
rashidah wahmin,5,Positive,2026-04-14 11:12:36,comfortable and happy,comfortable happy
Juroo V,1,Negative,2026-04-14 11:08:05,"nunggu driver lama banget, sekali dapat yg jaraknya jauh dr titik jemput",nunggu driver lama banget sekali dapat jaraknya jauh titik jemput
Nico Levianth,1,Negative,2026-04-14 10:21:19,"Kêu xác minh bằng khuôn mặt xong chưa kịp chỉnh góc chụp với ánh sáng thì nó đã All done luôn xong báo không thể nhận diện khuôn mặt, rồi cứ như thế 3 lần liên tiếp là nó khóa luôn tính năng thanh toán không dùng tiền mặt 🤩🤩🤩 chưa thấy app nào tuyệt vời như app này",minh bng khun xong cha chnh chp sng done lun xong khng nhn din khun lin tip kha lun tnh nng thanh ton khng dng tin cha thy tuyt
Amln,1,Negative,2026-04-14 09:36:26,"""secure your account"" more like ""taking your money hostage. Here's some error for authentication.""",secure account like taking money hostage here error authentication
Euphemia Gnash,1,Negative,2026-04-14 09:36:19,don't install you'll spend 30 minutes on captcha ALONE plus they don't send OTPs,dont install youll spend minute captcha alone plus dont send otps
Laylatul Muflihah,1,Negative,2026-04-14 09:26:41,"drivernya ga ada attitude semua rata rataa, udh ketemu tapi Meleng aja ga digubris trus abis itu di cancel",drivernya ada attitude semua rata rataa udh ketemu tapi meleng aja digubris trus abis itu cancel
Lelouchi,1,Negative,2026-04-14 09:24:49,custom tip doesn't work,custom tip doesnt work
Emir Faris,5,Positive,2026-04-14 08:57:19,good apps for everything👍🏻,good apps everything
Harpreet Hans,5,Positive,2026-04-14 08:42:56,very very good,good
lioni fransiska,1,Negative,2026-04-14 08:37:01,gak suka banget kalo dikasih driver yang JAUH BANGET harus nunggu lama,gak suka banget kalo dikasih driver yang jauh banget harus nunggu lama
Anya Malinao,5,Positive,2026-04-14 08:35:00,okay,okay
Putri Zahra Nurintan,3,Neutral,2026-04-14 07:11:24,"Aneh ih sistemnya, tolong dong kalo udah bawa 1 penumpang, jangan bawa lagi, mana rutenya bolak balik, kasian drivernya. Sama jangan pilih driver yg jauh jauh dong, aku udah komplen driver is too far masih aja dikasih yang lebih jauh, gajelas.",aneh sistemnya tolong dong kalo udah bawa penumpang jangan bawa lagi mana rutenya bolak balik kasian drivernya sama jangan pilih driver jauh jauh dong aku udah komplen driver far masih aja dikasih yang lebih jauh gajelas
George,1,Negative,2026-04-14 06:47:40,Picky drivers. Last minute cancelations. Grab doesnt care anymore about their customers.,picky driver last minute cancelations doesnt care anymore customer
Yee Keat Lee,1,Negative,2026-04-14 02:12:53,FORCES US TO PAY WITH GRAB WALLET TOP-UP & drivers picked up immediately ONLY AFTER THE PRICE RAISES MORE THAN 2X,force pay wallet topup driver picked immediately price raise
Salim Shaikh,5,Positive,2026-04-14 00:26:26,v good service,good service
Jhen Nicolas,5,Positive,2026-04-13 23:29:24,taste10/10 highly recommend,taste highly recommend
Yuki Mizushima,1,Negative,2026-04-13 22:34:55,driver behavior getting terrible. cancels to intentionally hike up the fare then when i cancel the app wants me to pay additional fee for cancellation? GRAB WAS BETTER BEFORE BUT NOW IT'S JUST A SCAM and Unfair to paying passengers. i already escalated one of the issues about a scamming driver via email but there was no solution.,driver behavior getting terrible cancel intentionally hike fare cancel want pay additional fee cancellation better scam unfair paying passenger already escalated issue scamming driver via email solution
Alton Aguilar,1,Negative,2026-04-13 22:27:05,cant find rider from the start using this app,cant find rider start using
Saiful Hasmi,5,Positive,2026-04-13 22:19:24,memudahkan,memudahkan
Online Omni,1,Negative,2026-04-13 22:16:24,Saya pesan grab nisan livina q.5 dengan nomor polisi L1636 WV. DRIVER INJ TIDAK SOPAN DAN BERKATA KATA KASAR. ITU TERJADI KETIKA SAYA MENELEPON. DRIVER INI BERKATA EMANG ENAK KALAU DI TELEPON TIDAK DIANGKAT. SETELAH ITU TELEPON SAYA DIMATIKAN DAN PESANAN SAYA DIBATALKAN. TOLING PIHAK GRAB AJARKAN SOPAN SANTUN KEPADA MITRANYA. APA TIDAK PUNYA EMPATI KETIKA PELANGGANNYA SEDANG BERUSAHA TELEPON KARENA SINYAL KURANG LANCAR. TETAPI JAWABAN DRIVER SANGAT TIDAK SOPAN DAN TIDAK MAU BERTANYA BAIK BAIK,saya pesan nisan livina dengan nomor polisi driver inj tidak sopan dan berkata kata kasar itu terjadi ketika saya menelepon driver ini berkata emang enak kalau telepon tidak diangkat setelah itu telepon saya dimatikan dan pesanan saya dibatalkan toling pihak ajarkan sopan santun kepada mitranya apa tidak punya empati ketika pelanggannya sedang berusaha telepon karena sinyal kurang lancar tetapi jawaban driver sangat tidak sopan dan tidak mau bertanya baik baik
Muhammad Hilmy,1,Negative,2026-04-13 22:14:13,"too much drain internet speed for running in background, after i restrict grab for running in. background, the internet speed is back as normal. wth is going on there tho?",much drain internet speed running background restrict running background internet speed back normal wth going tho
Ilham Maulana,5,Positive,2026-04-13 21:03:37,good,good
Alysa Adriana,1,Negative,2026-04-13 20:50:50,"AI shitdump marketing. the ads on YouTube and TikTok for Grab is so disgusting and repulsive my appetite gone whenever it was up on the screen. one would think a multibillionaire company would have enough budget for ads on biggest video streaming platforms, tiktok and YouTube. what a cheapskate. that's why no one use you anymore",shitdump marketing ad youtube tiktok disgusting repulsive appetite gone whenever screen think multibillionaire company enough budget ad biggest video streaming platform tiktok youtube cheapskate thats anymore
R Chandra,1,Negative,2026-04-13 20:47:07,Very substandard app with cumbersome software. It doesn't provide relevant options to deal with any difficult situation. Customer service doesn't exist.,substandard cumbersome software doesnt provide relevant option deal difficult situation customer service doesnt exist
Felicia Tang,2,Negative,2026-04-13 20:46:54,takes too long,take long
Ramon Del Rosario,5,Positive,2026-04-13 20:39:58,👍,
Catherine Otieno,5,Positive,2026-04-13 20:31:07,"Grab is very convenient for transport and food delivery. It’s reliable, easy to use, and makes daily life much smoother. I appreciate how quickly I can get services whenever I need them.",convenient transport food delivery reliable easy make daily life much smoother appreciate quickly service whenever need
Brian Evans,5,Positive,2026-04-13 19:50:05,"thanks, you helped so much!",thanks helped much
Gordy Thomas,1,Negative,2026-04-13 19:07:21,"HOLDING MONEY AFTER MERCHANT CANCELLATION - In GRAB MART - I'm using my normal Agribank ATM card when purchasing. Usually no problem. HOWEVER, when the merchant cancels the order, the total amount charged is still held ""for 3 to 7 days"", although in my experience with GO! Store it took two weeks to get my refund. Now today, Mega Market canceled an order and I got the same ""3 to 7 days"" warning about a refund. TERRIBLE WAY TO DO BUSINESS",holding money merchant cancellation mart using normal agribank atm card purchasing usually problem however merchant cancel order total amount charged still held day although experience store took two week refund today mega market canceled order got day warning refund terrible way business
Mega Cloudy,4,Positive,2026-04-13 19:02:56,halo. tidak semua pengemudi. terkadang saya mendapatkan pengemudi grabbike yang membatalkan pemesanan saat sudah berada di titik penjemputan. tepat didepan mata saya. pengemudi berlalu sambil mengcancel pesanan. saya tidak masalah pencancelan tapi harusnya di batalkan saat mereka menerima pesanan. bukan sudah sampai tujuan. kan membuang waktu saya menunggu.,halo tidak semua pengemudi terkadang saya mendapatkan pengemudi grabbike yang membatalkan pemesanan saat sudah berada titik penjemputan tepat didepan mata saya pengemudi berlalu sambil mengcancel pesanan saya tidak masalah pencancelan tapi harusnya batalkan saat mereka menerima pesanan bukan sudah sampai tujuan kan membuang waktu saya menunggu
Lee Hani,1,Negative,2026-04-13 18:56:35,"changed my saved addresss, driver charged me extra for the hassle. thanks for nothing stupid app",changed saved address driver charged extra hassle thanks nothing stupid
Siti Manisah,5,Positive,2026-04-13 18:45:47,terbaik,terbaik
Maryrose Flores,5,Positive,2026-04-13 18:44:55,Mabilis dumating ang deliver thank you Grab.,mabilis dumating ang deliver thank
Candy,1,Negative,2026-04-13 18:28:09,grab gak ngotak sudah paksa langganan sekarang hilang sendiri 40%nya baru sore jam 5 doang kemana vouchernya??? beda kalau sebelah pagi-malam bahkan 24jam voucher 50% selalu ready hanya 10ribuan lagi 3bulan paketnya.,gak ngotak sudah paksa langganan sekarang hilang sendiri nya baru sore jam doang kemana vouchernya beda kalau sebelah pagimalam bahkan jam voucher selalu ready hanya ribuan lagi bulan paketnya
Vijayaletchumy Arumugam,5,Positive,2026-04-13 17:52:42,"Fast and smooth delivery! The Grab rider was very friendly, polite, and handled the food with care. Truly appreciated the great service—made my day better. Highly recommended!",fast smooth delivery rider friendly polite handled food care truly appreciated great servicemade day better highly recommended
Adik Humaid,5,Positive,2026-04-13 17:20:17,"Anywhere, anytime grab!",anywhere anytime
Braian Morales,1,Negative,2026-04-13 17:14:35,"the app is not working as of today April 13, 2026",working today april
Ngo Che,1,Negative,2026-04-13 17:05:10,"i use grab in thailand, booking a transport for friends, and the driver ask for cash for a cashless ride. I REPORT TO GRAB BUT THEY REPLY ME TO FILE THE DRIVER TO LOCAL POLICE WITHOUT SOLVING MY ISSUE. VERY VERY VERY UN PROFFESIONAL AND NO CUSTOMER PROTECTION. DONT USE THIS APP FURTHER! THEY TAKING SIDE WITH THIEF!! i have all related screenshot as prove! taking side on thief and scam foreigner!!",thailand booking transport friend driver ask cash cashless ride report reply file driver local police without solving issue proffesional customer protection dont taking side thief related screenshot prove taking side thief scam foreigner
Júnis El Hassan,2,Negative,2026-04-13 16:51:20,"I don't think I have ever hated any app as much as this one. While the rides part works well, the food section is one big nightmare. I tried to order food 3 times during my stay in Singapore and every single order had an issue. On 1st delivery I received only 1/3 of the order, the 2nd delivery took like 30 minutes to even place the order because of app bugs, unhelpful AI chatbot and faulty help center. The 3rd order was not even completed because Grab allegedly wanted to protect me. Ridiculous..",dont think ever hated much ride part work well food section big nightmare tried order food time stay singapore every single order issue delivery received order delivery took like minute even place order bug unhelpful chatbot faulty help center order even completed allegedly wanted protect ridiculous
Krisrine Padua,4,Positive,2026-04-13 16:25:33,Nice,nice
LOGHA DEVAN,5,Positive,2026-04-13 16:17:08,like +5,like
Mya Thiri Lwin,5,Positive,2026-04-13 16:12:19,good,good
Andy eun,3,Neutral,2026-04-13 16:08:33,Ride was less than $1 but it charges $1. Happened on every trip.,ride less charge happened every trip
dyaaa,5,Positive,2026-04-13 15:56:11,"suka aplikasi grab ni sbb memudahkan saya membuat pesanan makanan tanpa perlu sy keluar, selain dr itu ad perkhidmatan ehailing juga, jdi ketika saya tidak ad kenderaan sy akan order kereta sewa dari grab , harga jugal berbaloi, driver juga baik Dan peramah",suka aplikasi sbb memudahkan saya membuat pesanan makanan tanpa perlu keluar selain itu perkhidmatan ehailing juga jdi ketika saya tidak kenderaan akan order kereta sewa dari harga jugal berbaloi driver juga baik dan peramah
Arief Rakhmani,1,Negative,2026-04-13 15:45:43,"kurangin lah notifikasi iklannya, agen delivery apa agen iklan sih",kurangin lah notifikasi iklannya agen delivery apa agen iklan sih
Nasarudin Selamat Jb,5,Positive,2026-04-13 15:10:22,pemandu ini baik dan berhemah,pemandu ini baik dan berhemah
Omar-Nageeb,5,Positive,2026-04-13 14:51:02,Great App,great
Forhadul Islam,5,Positive,2026-04-13 14:50:29,Good,good
Toàn Nguyễn,1,Negative,2026-04-13 14:27:30,"Bắt buộc người dùng cung cấp thông tin, hình ảnh cá nhân mới cho sử dụng",buc ngi dng cung thng tin hnh nhn cho dng
John Will Bonagua,1,Negative,2026-04-13 14:14:23,UI bad/difficult for oldies,baddifficult oldie
mg aung,5,Positive,2026-04-13 14:13:54,ok,
Joan Ao-asen,4,Positive,2026-04-13 14:06:28,ok,
Lawontharthar Lawontharthar,2,Negative,2026-04-13 13:59:27,Lee လိုပဲ order တင်ဆိုင်းလာပို့လို့မရဘူး,lee order
Zune Phooe Wai,5,Positive,2026-04-13 13:42:42,a good 👍🏻,good
Samsul Suy,5,Positive,2026-04-13 13:34:49,Service nice,service nice
Nur Alyani Mohamed Daud,5,Positive,2026-04-13 13:09:27,"Grab makes daily life easier with its all-in-one services, including transportation and food delivery. It’s user-friendly, reliable, and",make daily life easier allinone service including transportation food delivery userfriendly reliable
Ironmean Lol,1,Negative,2026-04-13 12:54:57,"everyday coffee have a bug always pickup, as drivers are busy. fix it pls",everyday coffee bug always pickup driver busy fix pls
Suzilawatiibrahim Suzilawatiibrahim,5,Positive,2026-04-13 12:53:45,👍🏻👍🏻👍🏻👍🏻👍🏻,
amira harif,5,Positive,2026-04-13 12:49:17,👍🏻,
Luciana Mayasari,1,Negative,2026-04-13 12:41:16,"the app often having a bug and crash event though the signal is very good , i often order ride or car got the driver and then no response at all no pick up call no reply message and confirmation that ends up i have to cancel after waiting for a long time due to no confirming from the driver , the gps is really bad roo now it is not so good as the old days",often bug crash event though signal good often order ride car got driver response pick call reply message confirmation end cancel waiting long time due confirming driver gps really bad roo good old day
Jackpot Ninja,1,Negative,2026-04-13 12:32:31,"I tried to book a ride in advanced for 4 hours later. As soon as I booked it immediately was looking for a ride for me. So I had to immediately cancel the booking! However, they instantly debited my card without even having a ride! Now they're talking about 3-5 business days before I get back my funds!! You're not supposed to take out the funds yet until I complete my ride! That's why you have my credit card information to begin with! You guys take our money faster than giving it back! Fix it!",tried book ride advanced hour later soon booked immediately looking ride immediately cancel booking however instantly debited card without even ride theyre talking business day back fund youre supposed take fund yet complete ride thats credit card information begin guy take money faster giving back fix
Aryo Yudhanto,5,Positive,2026-04-13 12:30:33,aplikasi yg sangat bermanfaat,aplikasi sangat bermanfaat
Saroja Kumaran,5,Positive,2026-04-13 12:06:20,very faster,faster
Sukumaran Subramaniam,5,Positive,2026-04-13 11:53:32,good service,good service
Nurulz Aida,5,Positive,2026-04-13 11:46:58,soooo gooooood,soooo gooooood
Allan Noble,4,Positive,2026-04-13 11:35:38,app is OK - pick up map accuracy was a little off,pick map accuracy little
Khairul Fikry,5,Positive,2026-04-13 11:17:47,ok,
Dave Cowin,5,Positive,2026-04-13 11:16:25,"best driver we could have had many mamy thanks ,super ride",best driver many mamy thanks super ride
Daniel De Guzman,5,Positive,2026-04-13 11:11:41,Very handy for Asia,handy asia
Ilia Baryshnikov,2,Negative,2026-04-13 11:08:16,uses your camera and mic during a ride to spy on you,us camera mic ride spy
Ms. Keriting,1,Negative,2026-04-13 09:59:56,slow respon,slow respon
firdaus hakimi,5,Positive,2026-04-13 09:12:49,best.,best
Pasti Ph,1,Negative,2026-04-13 08:58:09,"They LIE about delivery fee. ""64 peso, discount to 15"" both are a lie: the actual price is 94. this is CONFUSING because then I chose a McDonald's over the river instead of the nearest one.",lie delivery fee peso discount lie actual price confusing chose mcdonalds river instead nearest
onixa shafa,3,Neutral,2026-04-13 08:50:56,"Sering kali, driver sangat lama saat membatalkan pesanan, bisa lebih dari 5 menit, padahal saya sedang terburu-buru. Sementara itu, posisi driver juga tidak bergerak sehingga waktu saya terbuang. Selain itu, kenapa pengguna tidak bisa membatalkan pesanan dari aplikasi?. Sebaiknya disediakan opsi cancel dengan berbagai pilihan alasan yang lebih lengkap serta fitur lampiran screenshot dari pengguna sebagai bukti konkret kenapa pengguna ingin cancel. Ini akan sangat membantu saat terjadi masalah.",sering kali driver sangat lama saat membatalkan pesanan bisa lebih dari menit padahal saya sedang terburuburu sementara itu posisi driver juga tidak bergerak sehingga waktu saya terbuang selain itu kenapa pengguna tidak bisa membatalkan pesanan dari aplikasi sebaiknya disediakan opsi cancel dengan berbagai pilihan alasan yang lebih lengkap serta fitur lampiran screenshot dari pengguna sebagai bukti konkret kenapa pengguna ingin cancel ini akan sangat membantu saat terjadi masalah
Grim Reaper,4,Positive,2026-04-13 08:41:45,High fare is not worth it!,high fare worth
